C_ID,COMPANY
1588,Goalpost Pictures
1589,Matchbox Pictures
1590,Cannon and Morley Productions
1591,Lyla Films
1592,Bones
1593,Ace Maker Movie Works
1594,Ambience Entertainment
1595,Cat In The Mill Studio
1596,Growing Tree Productions
1597,Cohen Media Group
1598,Abbolita Productions
1599,Gail Katz Productions
1600,Armory Films
1601,Gamechanger Films
1602,Ball & Chain Productions
1603,Protostar Pictures
1604,Warner Bros.
1605,Twentieth Century Fox
1606,Camp Hill
1607,Les Films Paul Grimault
1608,Gaumont
1609,Baughn/Freed Productions
1610,Bakshi Productions
1611,C.A.T. Films
1612,Rastar Pictures
1613,Falcon International Productions
1614,Major Studio Partners
1615,Enigma Productions
1616,Juniper Films
1617,Viacom Enterprises
1618,Adams Apple Film Company
1619,United Film Distribution Company (UFDC)
1620,Eon Productions
1621,R&R Films
